BACK_VIEW_ MESH______ stage1_base		-7000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-7000.0,   300.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		-6000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-6000.0,   400.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		-5000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-5000.0,   500.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		-4000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-4000.0,   300.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		-3000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-3000.0,   400.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		-2000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-2000.0,   300.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		-1000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-1000.0,   100.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		    0.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		    0.0,   500.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		 1000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		 1000.0,   300.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		 2000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		 2000.0,   200.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		 3000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		 3000.0,   100.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_base		 4000.0,     0.0,     0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		 4000.0,   300.0,  1000.0,   0.0,  90.0,   0.0,   1.0,   1.0,

VIEW______ MESH______ new_gate1			-3300.0,     0.0,     0.0,   0.0,  90.0,   0.0,   0.7,   0.7,
VIEW______ MESH______ new_gate1			 -500.0,     0.0,     0.0,   0.0,  90.0,   0.0,   0.7,   0.7,
VIEW______ MESH______ new_gate1			 1500.0,     0.0,     0.0,   0.0,  90.0,   0.0,   0.7,   0.7,
VIEW______ MESH______ new_gate1			 3500.0,     0.0,     0.0,   0.0,  90.0,   0.0,   0.7,   0.7,

VIEW______ MESH______ new_stage_home	-4200.0,     0.0,   700.0,   0.0,   0.0,   0.0,   1.5,   1.5,
VIEW______ MESH______ new_stage_home	-2000.0,     0.0,   600.0,   0.0,   0.0,   0.0,   1.5,   1.5,
VIEW______ MESH______ new_stage_home	-1500.0,     0.0,   500.0,   0.0,   0.0,   0.0,   1.5,   1.5,
VIEW______ MESH______ new_stage_home	  500.0,     0.0,   600.0,   0.0,   0.0,   0.0,   1.5,   1.5,

END_______
