BACK_VIEW_ MESH______ new_s6_block		-2000.0,    0.0, -1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-2000.0,    0.0,     0.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-2000.0,    0.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-1000.0,    0.0, -2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-1000.0,    0.0, -1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-1000.0,    0.0,     0.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-1000.0,    0.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-1000.0,    0.0,  2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		    0.0,    0.0, -2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		    0.0,    0.0, -1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		    0.0,    0.0,     0.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		    0.0,    0.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		    0.0,    0.0,  2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 1000.0,    0.0, -2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 1000.0,    0.0, -1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 1000.0,    0.0,     0.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 1000.0,    0.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 1000.0,    0.0,  2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 2000.0,    0.0, -1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 2000.0,    0.0,     0.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 2000.0,    0.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,

BACK_VIEW_ MESH______ new_s6_block		    0.0, 1000.0,  2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		    0.0, 2000.0,  2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		    0.0, 3000.0,  2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-2000.0, 1000.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-2000.0, 2000.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-2000.0, 3000.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 2000.0, 1000.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 2000.0, 2000.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 2000.0, 3000.0,  1000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-1000.0, 1000.0, -2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-1000.0, 2000.0, -2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		-1000.0, 3000.0, -2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 1000.0, 1000.0, -2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 1000.0, 2000.0, -2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s6_block		 1000.0, 3000.0, -2000.0,     0.0,   0.0,   0.0,   1.0,   1.0,

END_______
