VIEW_HIT__ SO_COMP___ new_s5_base2		0.0, 0.0, 0.0,   0.0,   180.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		2000.0,3000.0, 0.0,   0.0,   0.0,   -10.0,   1.0,  1.0,
VIEW_HIT__ SO_COMP___ new_s5_base2		4000.0, 0.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		6000.0, 3000.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_COMP___ new_s5_base2		8000.0, 0.0, 0.0,   0.0,   180.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		10500.0, 3000.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_COMP___ new_s5_base2		13000.0, 0.0, 0.0,   0.0,   180.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		15500.0, 3000.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		18000.0, 3000.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_COMP___ new_s5_base2		20000.0, 0.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		22000.0, 3000.0, 0.0,   0.0,   0.0,   -20.0,   1.0,  1.0,
VIEW_HIT__ SO_COMP___ new_s5_base2		24000.0, 0.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		26000.0, 3200.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFSHA new_b_wood		27000.0, 3000.0, 0.0,   0.0,   0.0,   90.0,   1.0,  1.0,
VIEW_HIT__ SO_COMP___ new_s5_base2		28000.0, 0.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		30000.0, 3000.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_COMP___ new_s5_base2		32000.0, 0.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		34000.0, 3000.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_COMP___ new_s5_base2		36000.0, 0.0, 0.0,   0.0,   180.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		38000.0, 3000.0, 0.0,   0.0,   0.0,   20.0,   1.0,  1.0,
VIEW_HIT__ SO_COMP___ new_s5_base2		40000.0, 0.0, 0.0,   0.0,   0.0,   0.0,   1.0,  1.0,
VIEW_HIT__ SO_HALFREA new_b_wood		42000.0, 3000.0, 0.0,   0.0,   0.0,   20.0,   1.0,  1.0,
VIEW_HIT__ SO_COMP___ new_s5_base2		44000.0, 0.0, 0.0,   0.0,   180.0,   0.0,   1.0,  1.0,
HIT_______ MESH______ ground_hit2	45000.0,    3000.0,    0.0,   0.0,   0.0,   90.0,   1.0,   1.0,


