VIEW______ MESH______ ground002			-5000.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			-5000.0,  400.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			-4000.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			-4000.0,  300.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			-3000.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			-3000.0,  400.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			-2000.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			-2000.0,  100.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			-1000.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			-1000.0,  500.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			    0.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			    0.0,  300.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			 1000.0,	0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			 1000.0,  350.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			 2000.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			 2000.0,  250.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			 3000.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			 3000.0,  400.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			 4000.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			 4000.0,  250.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			 5000.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground003			 5000.0,  450.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW______ MESH______ ground002			 6000.0,    0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
